"id","client_name","euros_spent","fidelity_points_earned","purchase_date","number_of_items"
"c682027e-4e11-48a3-9ae4-d9ca5fd426bd","Shawna Joseph",7491,3745,"2017-09-18T13:16:39.289Z","2"
"5a3a1aaf-d6ce-4293-a4d9-c8b828f0dbbc","Ignacio Dixon",34165,17082,"2017-07-28T11:51:42.232Z","1"
"7ae71ca4-ac72-4fc0-94e7-03649e1c254d","Jessica Harper",37673,18836,"2017-09-23T15:57:22.822Z","1"
"8cd699c2-a4a6-468f-8d40-b5c419ded264","Blanca Day",10564,5282,"2017-08-14T10:57:23.198Z","2"
"67206372-2c66-4e05-afc6-6ac664e9981d","Jodi Thornton",2333,1166,"2017-03-22T16:27:50.104Z","1"
"b68e8e90-fd4f-4e70-a93d-26117ed339b7","Cecilia Ramirez",3338,1669,"2017-10-20T09:17:16.987Z","1"
"810c4fbb-705b-47c5-a8b3-da2e3765cfca","Elmer Black",5111,2555,"2017-10-29T11:59:28.264Z","1"
"f575949c-2986-496a-8f52-becc54eeeaad","Travis Rose",18000,9000,"2017-05-31T15:59:38.694Z","1"
"8cd4a3fd-8abd-4bd9-bfbe-cb1f1fe56666","Matthew Reeves",24517,12258,"2017-03-10T12:08:56.390Z","1"
"575a8828-4685-423f-9a8d-7f162d83f873","Roger Pena",13312,6656,"2017-09-15T08:39:26.887Z","1"
"2856d795-41e9-4999-8578-a315c4d94b67","Lucille Bryant",22153,11076,"2017-09-03T15:50:07.383Z","1"
"e1290f4c-4a3d-408b-8e65-f97b379f0e44","Willie Lane",14920,7460,"2017-02-18T16:19:03.534Z","1"
"f7ebe099-c08b-475f-8fcb-dca2762cf836","Maureen Mccarthy",17591,8795,"2017-04-03T14:25:12.710Z","1"
"efd57507-be9a-4d94-b804-081b2d655dd0","Roger Pena",19260,9630,"2017-10-02T10:35:24.523Z","1"
"77cb478d-893b-43a9-90fd-83c659920a62","Henry Quinn",20508,10254,"2017-05-23T13:34:47.997Z","5"
"621874b7-72d5-4f90-9838-4bf0a1ae622a","Pedro Baker",24244,12122,"2017-07-28T06:14:00.720Z","1"
"0291c657-e80c-4f95-afd3-3235a255161c","Beverly Bennett",35143,17571,"2017-06-04T13:59:59.401Z","1"
"b0055c09-b767-405a-b85f-6e398adbb7c1","Geraldine Larson",36248,18124,"2017-11-03T15:52:14.868Z","3"
"063d5547-2657-47a1-a61f-85d6e303f9ad","Leland Johnston",13986,6993,"2017-08-14T10:40:19.247Z","1"
"a055698a-5a66-4434-b8ce-a9affb5ca48b","Jeff Hawkins",29439,14719,"2017-11-15T10:11:57.147Z","1"
"811f5a79-67c9-454f-abc5-04294d5f7d48","Pedro Baker",26947,13473,"2017-02-06T10:06:19.450Z","2"
"6b532afa-6c9c-4b47-ba88-e5d3daf39e91","Crystal Jennings",1052,526,"2017-10-19T09:17:23.984Z","1"
"48338ee0-5238-400a-a72b-18e17684f48f","Jeffery Cook",30505,15252,"2017-09-10T06:19:30.026Z","1"
"9d7c6112-1d7f-4ff0-ae1d-7286eb21b16d","Jeannette Hamilton",18312,9156,"2017-12-06T13:44:20.713Z","1"
"f05fcbf3-6513-4ac4-83c2-6ce7b69e80a3","Dolores Moss",32949,16474,"2017-05-04T10:58:48.354Z","4"
"727edac5-0a63-4b31-96ca-590d456eddbe","Theodore Walsh",25980,12990,"2017-06-07T06:44:29.083Z","3"
"e4404efb-c1d2-47ae-af5b-61b9c2da980a","Christy Pierce",27881,13940,"2017-10-24T15:49:29.908Z","1"
"5e28fed4-2d97-4ad9-926d-14ff4c9c01e8","Stewart Fletcher",24370,12185,"2017-05-06T11:27:54.569Z","1"
"290d8700-ed08-495a-bcff-25eb4b61ec70","Peggy Nunez",9707,4853,"2017-03-05T16:58:38.188Z","1"
"0c5ae579-b710-4d38-8aa9-a56ad8f05ab7","Sheryl Weaver",18587,9293,"2017-10-29T10:37:01.748Z","2"
"03bef0ac-f738-4c5c-aafc-8826b238f33a","Theodore Walsh",30159,15079,"2017-05-02T12:04:21.308Z","1"
"b8b69b68-6029-4bba-ba6f-a58fdad0eba9","Arthur Torres",12516,6258,"2017-12-10T07:23:32.416Z","2"
"bc47e2c3-9d05-4218-b5d5-e46329db29ba","Dolores Moss",18497,9248,"2017-11-19T08:23:41.897Z","5"
"313a66d2-5b7c-4ebe-8de4-e82490024ed9","Sue Parsons",37456,18728,"2017-05-13T14:32:04.240Z","2"
"b0d18df1-f5ec-4046-8cd5-1cef6237441c","Alyssa Hale",30764,15382,"2017-05-11T15:26:40.979Z","1"
"82831642-41e2-4c62-ab4d-ebea19beccf5","Johnnie Andrews",6405,3202,"2017-11-17T16:39:21.272Z","1"
"b03bf207-2315-42c1-93af-e1b0e7eee336","Bertha Lyons",39119,19559,"2017-03-12T09:49:12.210Z","2"
"35cd9774-b6d6-4adc-815e-574c4a39f448","Kendra Cohen",38775,19387,"2017-12-06T14:02:09.109Z","3"
"b74313c3-69b8-4040-a5fe-c2dde9cf9829","Dolores Moss",25771,12885,"2017-11-19T11:52:40.986Z","1"
"37b42daa-cbe3-4429-a445-0bf42d696d09","Jenna Harrington",16425,8212,"2017-03-29T08:53:45.648Z","1"
"3b68523f-82d9-48bd-a0e8-4162687dea01","Jessica Harper",29782,14891,"2017-08-05T07:15:34.553Z","1"
"74f7c0f3-1feb-422f-8733-b369341080d8","Clifton Anderson",1728,864,"2017-08-24T14:29:10.289Z","5"
"8fa80f16-e408-4155-a568-71c6cf92cbda","Carlos Parks",3681,1840,"2017-05-05T07:37:29.020Z","1"
"d2d82e22-8f0e-4fdd-92ef-28159352aeca","Tricia Curry",4685,2342,"2017-09-10T08:27:50.165Z","5"
"cee630cb-10d1-429a-ad74-fbd8df6367fa","Anna Hicks",31784,15892,"2017-01-24T15:11:19.130Z","3"
"f83f07c8-ba9c-4746-916b-1968e03160a5","Shawna Joseph",14052,7026,"2017-04-13T08:26:42.987Z","2"
"9f4ad301-f2cb-4c52-8233-100bf34a3cfd","Darrin Fields",17052,8526,"2017-01-27T13:57:25.377Z","1"
"280c63e3-7686-43e1-b123-3b105819a799","Jodi Thornton",27168,13584,"2017-03-01T14:11:39.843Z","1"
"71d25588-e5c1-4f50-8c90-159282db398e","Faith Luna",31826,15913,"2017-02-28T13:09:15.585Z","1"
"c30e1ff7-c447-4980-a149-7973aa09cb2b","Jessica Harper",38261,19130,"2017-09-01T12:58:29.877Z","1"
"b5da2fef-2353-4531-8574-61d63333649f","Robin Ferguson",20522,10261,"2017-11-15T10:04:22.734Z","3"
"27dcba5c-060c-4a00-a803-b924aabf6b9f","Lucille Bryant",13548,6774,"2017-02-20T08:08:41.126Z","1"
"8ebea65f-fd70-425d-afe6-4e2903218f32","Megan Cain",14506,7253,"2017-10-05T07:24:00.095Z","3"
"126eb922-1447-4c88-bc82-08bc423e8905","Roger Pena",19491,9745,"2017-04-26T14:30:34.872Z","2"
"f122a5e5-8cbb-432c-a84e-e88282b0335f","Margie Todd",11290,5645,"2017-04-12T11:57:21.282Z","1"
"f0faa3ff-2b41-4718-8a6a-9ac0d99a9918","Amos Potter",12047,6023,"2017-04-10T13:43:56.741Z","1"
"0d7718b0-b023-4ab9-9978-99e6449a82de","Jeff Hawkins",21769,10884,"2017-05-22T09:11:56.250Z","1"
"174909a5-8329-435b-ad41-0ac8bbd446bb","Darrin Fields",22276,11138,"2017-08-18T11:07:00.557Z","1"
"569e431b-23ef-4932-96c2-d0f39d8176b2","Nicholas Turner",1181,590,"2017-07-16T07:30:51.561Z","1"
"88b76d7c-4729-49b0-93b4-fae582736479","Ebony Maxwell",28587,14293,"2017-09-09T10:55:17.375Z","1"
"d1f1260c-86cd-4bb4-851e-7eeab0cb6cc4","Blanca Day",29399,14699,"2017-10-18T14:15:35.838Z","2"
"05f6acad-15c9-4a05-b1ea-24c65719ba51","Stewart Fletcher",15581,7790,"2017-05-13T06:22:29.447Z","1"
"2dc437b9-57d1-44dc-9657-7fce41112188","Jessica Harper",37202,18601,"2017-11-28T10:29:28.064Z","2"
"33ba7e91-fa3a-49f8-a43d-79b400339e81","Margie Todd",9187,4593,"2017-03-10T10:52:49.598Z","4"
"171a5c1f-0f1c-4da9-ac2d-921a175b39d4","Jodi Thornton",26661,13330,"2017-07-14T09:10:07.519Z","3"
"e8c45f73-c205-4a02-b715-a9673cd028cd","Henry Quinn",25136,12568,"2017-06-03T06:23:21.052Z","1"
"33ba23f8-9417-441e-9399-2c16f7abdec6","Duane Riley",11666,5833,"2017-02-05T14:59:41.979Z","1"
"86580deb-3ef3-47d9-98bf-b7d03f5b19c1","Jane Frazier",2717,1358,"2017-05-20T10:14:06.126Z","1"
"9d7983b3-61f8-4f13-bba1-9cb8db803bef","Clifton Anderson",34456,17228,"2017-08-26T14:49:35.076Z","2"
"0c34ec73-b8a3-4d2e-960f-9afe09835f4c","Beverly Bennett",25699,12849,"2017-12-04T13:44:24.582Z","1"
"de3fdb49-ad72-452d-b20e-522bb78ef233","Faith Luna",32220,16110,"2017-11-30T07:41:18.287Z","1"
"dd81a564-8d7f-40e0-8932-281199a71ed8","Tracey Murphy",339,169,"2017-08-02T15:12:35.623Z","1"
"064e30d3-c04e-4a1b-8626-c95236de07cd","Lynn Ball",21725,10862,"2017-05-30T09:45:28.434Z","1"
"c0da8aca-56d5-4fdd-9747-0daa4360ba59","Sheila Burns",30447,15223,"2017-08-30T10:26:59.359Z","1"
"2317e98b-f704-4696-8ab4-68ccfa095d36","Megan Cain",30059,15029,"2017-02-13T08:07:21.729Z","1"
"e15486e5-3f34-40b3-a15a-65ed55dd3e58","Hugh Kim",14063,7031,"2017-05-30T15:44:39.022Z","1"
"c41e767e-08dd-47a3-9811-bc35dc3a0c22","Joyce Sherman",27484,13742,"2017-11-23T12:02:29.808Z","3"
"372824a4-f38f-40bd-8fbe-11baced9249d","Preston Mendoza",39752,19876,"2017-11-18T14:14:19.710Z","1"
"12955dd5-0724-4032-b553-9a6e452dc980","Allen Hoffman",20319,10159,"2017-11-16T07:48:49.366Z","1"
"52293969-aaab-4711-99fe-19418738b70e","Matthew Reeves",33929,16964,"2017-02-28T07:14:13.867Z","1"
"f94c284b-9745-46a4-ae9d-f8dbb0695ef3","Sherry Owen",19324,9662,"2017-08-03T07:29:36.609Z","1"
"c2c13f0a-1be7-4919-875a-4869fa670c84","Joyce Sherman",3385,1692,"2017-05-31T08:47:13.622Z","1"
"4186c2c3-3465-4028-bb15-582c286f6a55","Spencer Leonard",26923,13461,"2017-08-25T07:30:45.465Z","1"
"f0c25e33-520f-4d4b-aa54-4afa11be9a21","Melba Rivera",2637,1318,"2017-01-26T08:28:34.572Z","1"
"f4e66fdd-b245-4c6d-bedd-75a9050d8d40","Sherry Owen",14151,7075,"2017-01-10T16:43:06.459Z","1"
"7ded2672-5804-4620-aae1-e6c2f16c74fe","Tricia Curry",12674,6337,"2017-04-07T08:38:35.074Z","1"
"9fbf3c98-5c1c-4eef-9874-0c41267800a2","Leonard Lindsey",37442,18721,"2017-08-09T11:14:54.486Z","3"
"e0063ae2-7300-4efa-8050-76dfabe9f96b","Clinton Rodriguez",32342,16171,"2017-06-16T14:13:51.179Z","5"
"bb465e1a-913d-4502-b8bb-781a9760da6b","Doreen Hudson",38879,19439,"2017-04-05T11:20:38.136Z","2"
"17f0c942-a3e3-4840-881e-855b6cd63c9c","Willie Lane",13534,6767,"2017-05-12T14:38:00.983Z","1"
"f3f892a0-1c8b-433a-acb7-258bfe9568cf","Lucille Bryant",11227,5613,"2017-03-23T07:35:53.686Z","1"
"801ba200-eb44-42a9-bdb3-ef52665d0664","Joyce Sherman",35728,17864,"2017-11-04T15:21:32.384Z","5"
"3bbadd77-717b-4e69-96dc-f67885279431","Sophie Cole",11341,5670,"2017-07-14T06:09:42.424Z","1"
"7a1ec166-52d0-4ee9-9ec4-80eb3c4cb76b","Jane Frazier",9689,4844,"2017-02-13T12:06:57.280Z","1"
"b9f5e493-6d3b-4a03-97c7-047cfd105ade","Roger Pena",21998,10999,"2017-03-22T11:49:08.159Z","5"
"2ce1f866-2ecd-4858-a686-d71820939585","Bertha Lyons",33381,16690,"2017-08-27T15:33:38.700Z","5"
"d6e2808e-a964-4f9e-9306-ddf45663a370","Carlos Parks",25677,12838,"2017-12-03T16:58:59.028Z","1"
"f69ff996-38f2-4b63-a6dd-cb00cee63035","Amos Potter",15295,7647,"2017-05-08T12:47:20.264Z","2"
"7ad4236d-70a9-40ac-adc9-2589312ebd82","Olivia Long",29240,14620,"2017-09-03T12:49:14.315Z","1"
"bd0b78f6-c9b4-4b0e-b663-62c6eb56ed6e","Anna Hicks",32597,16298,"2017-09-04T15:38:57.098Z","1"
"e4c56950-f7c9-4fe7-b5e4-697c711855f7","Blanca Day",15707,7853,"2017-04-24T10:58:09.655Z","1"
"ff512581-609c-4cad-8b55-764a3a4d4423","Elmer Black",5930,2965,"2017-11-07T16:53:31.074Z","3"
"5a3f0c0c-cb99-4e11-bdf1-268c95594388","Olivia Long",25265,12632,"2017-12-09T07:43:04.022Z","1"
"28e4b15e-5c17-49f0-9cd2-75e747e02f29","Ernestine Berry",30032,15016,"2017-04-16T15:30:28.225Z","2"
"e5dcf307-028a-4f7a-96c8-f5f23c8bf4f5","Dwayne Wheeler",22061,11030,"2017-07-14T15:46:14.554Z","1"
"5531e7a3-0a38-464c-8c68-48ab3ee66f46","Amos Potter",37620,18810,"2017-07-10T10:06:15.550Z","4"
"992a2284-059b-4b7e-9795-113941be1786","Geraldine Larson",17400,8700,"2017-04-19T07:26:40.499Z","1"
"f4ea2d22-3d1d-4c4a-b074-0c52f97a88f6","Jenna Harrington",1366,683,"2017-09-08T14:24:23.638Z","1"
"38041925-bbc7-41d4-b926-d5494419d9d8","Jeffery Cook",22845,11422,"2017-03-26T10:33:32.387Z","1"
"05a86be0-adcc-4764-914a-3a899fe0b1e4","Jeffery Cook",40098,20049,"2017-07-23T06:40:19.350Z","4"
"186aacbe-4a11-429f-b459-ace7b3c29429","Roger Pena",28013,14006,"2017-03-25T08:58:52.156Z","1"
"9ca0930b-cbaf-4e12-a3e5-8d83b7a0e3d5","Juana Porter",28790,14395,"2017-11-21T12:58:58.558Z","1"
"5af39487-5d8e-43b6-ba89-f78ecd71cc6a","Sheryl Weaver",6384,3192,"2017-07-15T13:13:50.849Z","1"
"377d3db2-4045-4753-9f6f-dd1ac653ce73","Theodore Walsh",8293,4146,"2017-01-30T16:02:43.293Z","1"
"8992b91f-6abf-4ec0-ad39-8901aa8c37c5","Darrin Fields",19686,9843,"2017-09-28T13:05:03.442Z","5"
"2dd7c544-7fde-48c1-80fb-d1a2c8b86dd5","Angela Pratt",3501,1750,"2017-05-28T12:38:05.173Z","2"
"8672b793-0204-4370-8fc7-c48f5545ce2c","Preston Mendoza",3863,1931,"2017-08-25T09:02:59.111Z","5"
"a02cdd53-39de-4298-bab5-592cc02583ad","Clara Wilkins",27629,13814,"2017-02-17T07:37:29.328Z","3"
"3dd658cb-3b45-415a-b99f-eb02dd208bbf","Ignacio Dixon",7700,3850,"2017-09-18T06:26:31.720Z","4"
"6f282853-bad6-4bc6-974f-a586c3316256","Essie Rowe",31915,15957,"2017-05-11T07:53:15.947Z","2"
"3d172ee0-b62f-40cb-81ea-c0ddc9f60a1c","Angela Pratt",36337,18168,"2017-02-03T10:41:51.869Z","1"
"39ea4197-e45c-4edb-8339-91f63e369e0b","Cary Hines",33839,16919,"2017-06-02T13:33:28.074Z","1"
"b0a6fa82-796f-43d6-b8d8-1fdff69bd20d","Clara Wilkins",13803,6901,"2017-01-13T07:15:45.358Z","5"
"dedcc2e7-20c3-400d-aef3-ea90c519b906","Melba Rivera",7604,3802,"2017-04-02T13:18:20.492Z","5"
"cbc9da23-d70f-4520-9625-e8411a3f45ba","Juana Porter",35993,17996,"2017-10-21T11:05:03.878Z","1"
"035947a3-0e79-45eb-9c8a-5f883fe307d3","Alyssa Hale",8079,4039,"2017-02-21T08:45:17.724Z","1"
"4074e3c5-a282-49b1-9fad-c1b6504fade4","Hugh Kim",23942,11971,"2017-08-17T12:42:35.906Z","1"
"96b990cf-e59b-4ecf-94f5-9cce1ee8ce0d","Sue Parsons",26564,13282,"2017-06-02T15:56:48.421Z","1"
"116b3879-14f7-45ba-9b11-407d002a9ea1","Roy Neal",39017,19508,"2017-06-04T06:44:36.897Z","3"
"7ca97dc0-c820-47ef-bcb3-eee0d3a266ea","Melba Rivera",35767,17883,"2017-10-23T07:40:31.746Z","3"
"ea80eab7-9b29-4c3f-a860-08305dff79c7","Jane Frazier",28204,14102,"2017-07-23T09:39:36.699Z","1"
"f1782a92-a213-4425-8be8-5c19e9495fb5","Arlene Freeman",37537,18768,"2017-06-21T11:33:02.810Z","2"
"64f70709-758a-4ef4-9ca5-0ee1c08656b1","Roy Neal",18879,9439,"2017-04-27T12:47:48.417Z","1"
"aa93f2b0-eafb-415f-95d7-34a43429cea8","Jenna Harrington",18817,9408,"2017-08-19T10:50:22.535Z","3"
"78e1c041-e63a-4590-952f-fdcda15eac21","Juana Porter",21486,10743,"2017-07-11T09:04:25.320Z","1"
"281529b1-2605-4330-8c71-5dfb65fd1e4c","Sheryl Weaver",10551,5275,"2017-09-14T14:10:13.130Z","3"
"25dec595-870f-4bc9-aae7-d3f867e2a9e1","Roger Pena",19794,9897,"2017-09-15T06:18:14.264Z","1"
"88f62da1-2152-4851-aab3-24e7c7daa212","Anna Hicks",18206,9103,"2017-11-17T15:28:25.689Z","1"
"3ba8e5cf-26a7-43c6-89ab-bbde2f95adc2","Christy Pierce",12557,6278,"2017-09-04T07:41:57.120Z","1"
"e64a4ff8-e1de-4fd5-b9bd-64d2c38ad79e","Caleb Padilla",17049,8524,"2017-09-06T06:48:33.740Z","1"
"7ebbc139-db6a-453a-aebb-863f832c2fbf","Christy Pierce",33074,16537,"2017-07-19T10:10:16.660Z","1"
"8ad89f9b-f023-4c59-b7af-a86bb99e5c63","Hugh Kim",36745,18372,"2017-04-23T12:28:56.095Z","1"
"c7334ee2-b4be-45d8-8ba5-112d00396328","Preston Mendoza",38475,19237,"2017-07-19T15:29:12.906Z","1"
"50116e65-9e61-40bb-bf5e-bc18f7b08b65","Robin Ferguson",15166,7583,"2017-06-09T14:27:48.183Z","1"
"9a2a8c14-5b9a-46f0-bd33-d02e39833c7d","Ignacio Dixon",26320,13160,"2017-01-14T11:32:01.789Z","1"
"e24f2dc8-0107-4e9f-ac26-acaa87e6fa9a","Juana Porter",9133,4566,"2017-05-18T06:55:59.045Z","1"
"5468d17c-52c7-4a7b-bee3-f57553f8598e","Lucille Bryant",29302,14651,"2017-09-25T15:16:07.244Z","2"
"cb8e618a-0d4a-4232-8f62-d0a1fbe10be7","Matthew Reeves",5132,2566,"2017-09-19T06:54:35.694Z","1"
"edac6ccb-314e-4823-aaea-3f9ccf4730d7","Sophie Cole",4697,2348,"2017-02-20T11:16:02.996Z","1"
"6fe1d287-fe44-4a81-8219-b893ea2eda4f","Jessica Harper",33895,16947,"2017-07-29T08:01:17.460Z","2"
"66719082-33ef-46a2-940f-ba1a366533ed","Clifton Anderson",9198,4599,"2017-08-07T07:40:07.679Z","1"
"f5c1975f-a69a-4205-b364-9ea310ba7a5d","Margie Todd",8355,4177,"2017-02-03T12:18:39.849Z","1"
"6e30a259-927a-42ce-82ff-3f4a65b363e3","Mike Bowers",548,274,"2017-09-17T14:43:10.472Z","1"
"af4a3799-7f9a-4e61-a050-24a4e7f3ffa1","Roger Pena",29788,14894,"2017-08-13T13:15:33.889Z","1"
"48e3fb51-3e10-49da-831e-1750e3cfec2e","Robin Ferguson",17577,8788,"2017-07-19T12:25:48.147Z","2"
"dfd45de2-cd2e-4954-b8dd-c8b6a1282d9f","Ernestine Berry",23777,11888,"2017-11-22T12:29:19.243Z","1"
"3e114825-bb35-479b-8de5-07c6d72f08ac","Johnnie Andrews",22736,11368,"2017-04-09T15:51:09.266Z","5"
"4154d065-7b0c-4d22-8a0a-b9cd1d10c946","Dwayne Wheeler",31470,15735,"2017-04-10T10:35:06.603Z","2"
"85f87ee4-374f-495b-b42f-de3807a92a61","Kate Gutierrez",39774,19887,"2017-08-23T10:59:07.741Z","2"
"bf04f1a1-1f59-4cfd-9c71-bacf988a5842","Ada Colon",24561,12280,"2017-04-20T15:02:12.733Z","2"
"d05a547e-de17-4ee8-a0ce-cd6a9681c162","Megan Cain",16737,8368,"2017-02-26T14:56:34.083Z","1"
"e743fa78-6540-4426-85fc-79545bbf511a","Dominick Brady",29150,14575,"2017-10-25T10:47:53.992Z","5"
"a0dd13aa-cb06-4b7a-a196-ee669c70d2c5","Richard Silva",9166,4583,"2017-07-20T12:26:57.060Z","1"
"7a1488c4-b631-46f9-bdb5-0d3dd41729d4","Theodore Walsh",19853,9926,"2017-07-19T12:37:16.644Z","2"
"e6c2d639-5046-4d81-a0f9-9e190e739012","Jeffery Cook",39663,19831,"2017-07-31T13:08:23.307Z","1"
"b1714323-477e-4489-9f1a-5a356e65c1a8","Jeannette Hamilton",16103,8051,"2017-04-23T07:30:11.177Z","1"
"7a579980-cd87-4431-9487-791adedc7103","Leonard Lindsey",23221,11610,"2017-05-10T13:10:06.984Z","2"
"bd5eb38e-1567-4fb1-a563-7b24fdff2adb","Lynda Richardson",31555,15777,"2017-09-27T06:14:57.041Z","1"
"f92515c4-5a32-4b10-843c-2d933c94b13e","Olivia Long",25009,12504,"2017-08-23T08:41:51.683Z","2"
"340a86dc-91c0-44a9-9241-f37b5956ac22","Elmer Black",9947,4973,"2017-07-31T10:15:00.134Z","1"
"000dde5f-88e7-4264-96c5-1b7a2bc533d2","Kendra Cohen",14345,7172,"2017-03-10T09:29:07.178Z","1"
"da64df14-99f2-4da9-bcbf-aa4fc6996753","Cecilia Ramirez",10213,5106,"2017-06-04T13:46:14.800Z","2"
"7d3606f6-4be5-41d3-8588-1adf16ecebdb","Dolores Moss",33243,16621,"2017-02-13T15:24:05.754Z","1"
"f8816d91-3d1a-4b19-92fd-b02a42020443","Darrin Fields",9142,4571,"2017-11-24T12:17:43.675Z","3"
"a2adb96a-200d-4022-85c7-26819e33a4eb","Jeannette Hamilton",13562,6781,"2017-03-03T11:53:24.549Z","1"
"cabad7f4-bd09-408d-adfe-11829c389a52","Duane Riley",8035,4017,"2017-07-29T15:24:18.674Z","4"
"3662d79a-d28a-4ae6-86ac-a8fa3e808b61","Ellen Dunn",12296,6148,"2017-02-11T13:50:51.082Z","1"
"6d1f34dc-9cca-45a4-a1d9-a1c2c4ffbfd3","Roger Pena",8605,4302,"2017-03-19T16:52:06.403Z","1"
"32237b5d-ac59-4df6-aca3-c8e7af4277ca","Faith Luna",33951,16975,"2017-10-27T08:16:59.038Z","2"
"0397e3ab-7abf-46e6-a0e7-cec12bbe21fd","Robin Ferguson",18484,9242,"2017-10-12T15:46:56.110Z","5"
"b59e62de-3c89-432c-a9f4-a6aedbc5bbe5","Joel Poole",2832,1416,"2017-06-20T10:07:06.286Z","4"
"660569db-a02f-4add-ba35-a57b6c5de155","Duane Riley",23506,11753,"2017-08-17T14:59:29.129Z","1"
"dbd89d51-2b53-44f5-ba03-f3276915c99f","Sophie Cole",13475,6737,"2017-01-07T14:01:41.019Z","1"
"a4475750-9715-40d6-9895-01d3e4f4beb6","Carlos Parks",37285,18642,"2017-05-07T12:12:59.467Z","1"
"84a35f69-ac0d-45b5-b758-93366ffb03d7","Sophie Cole",24666,12333,"2017-01-08T16:54:40.171Z","1"
"fd5c9a25-1004-42f0-aff6-2c82194c28ed","Tracey Murphy",8276,4138,"2017-04-01T14:06:42.476Z","3"
"56690877-acd4-40de-9da7-880a696b6afc","Preston Mendoza",18836,9418,"2017-07-25T11:02:58.958Z","1"
"ffac6f2a-6325-4430-8e41-bdad40fe2386","Cecilia Ramirez",18611,9305,"2017-11-29T11:54:38.166Z","1"
"ff116c5c-c36b-47cf-9db8-2fc4812d04aa","Lynn Ball",26727,13363,"2017-09-10T10:44:37.556Z","3"
"aa0e1e1d-9928-4db5-9947-69e86d8d9041","Sergio Weber",9283,4641,"2017-08-12T09:33:42.615Z","1"
"1a493065-4a90-49b8-b257-73d80ca3a123","Jessica Harper",9092,4546,"2017-11-12T10:34:19.999Z","1"
"ae0187f5-d482-43b0-9712-0296db0c3621","Crystal Jennings",14811,7405,"2017-02-27T07:02:15.046Z","4"
"8acefee4-36c6-4aaa-8a6a-fc410c595156","Arthur Torres",18685,9342,"2017-08-11T15:09:00.787Z","1"
"c351a62d-ab39-4ba9-8e83-69a3d1d43526","Sherry Owen",24140,12070,"2017-07-01T09:53:33.326Z","2"
"c7ce4146-01cd-452e-9587-8a9038b89c3d","Roy Neal",25200,12600,"2017-06-16T11:15:04.679Z","1"
"afeccd1f-3d08-410d-b0cd-47fffd8add15","Alyssa Hale",32516,16258,"2017-07-06T15:46:24.353Z","3"
"1fa74f63-8827-4ac4-a2d1-6eadc568e161","Jeannette Hamilton",32772,16386,"2017-08-11T06:33:01.862Z","1"
"7e6a05aa-cf72-40b6-a8e4-8f6c123ef7ca","Lee Mitchell",34105,17052,"2017-01-16T12:52:45.551Z","2"
